Player,Mode,Team,Event,Vs Who,Date,Group / Bracket,Map ID,Series ID,Map,Result,Role,Kills,Death,K/D,Plus / Minus,Hill Time,Assists,% of Team Kills,% of Team Deaths
ACHES,HP,LAG,LW,MIN,1/24/2020,G,#00010,#00003,St Petro,W,Flex,20.0,29.0,0.69,-9.0,-,-,16.5%,23.4%
ACHES,HP,LAG,LW,MIN,1/24/2020,G,#00013,#00003,Hackney,L,Flex,20.0,30.0,0.67,-10.0,-,-,20.4%,22.6%
Alexx,HP,MIN,LW,LAG,1/24/2020,G,#00013,#00003,Hackney,W,SMG,30.0,18.0,1.67,12.0,-,-,22.6%,18.4%
Alexx,HP,MIN,LW,LAG,1/24/2020,G,#00010,#00003,St Petro,L,SMG,19.0,19.0,1.0,0.0,-,-,15.3%,15.7%
Apathy,HP,SEA,LW,FL,1/24/2020,G,#00008,#00002,Azhir,L,SMG,35.0,23.0,1.52,12.0,22,-,27.6%,17.7%
Apathy,HP,SEA,LW,FL,1/24/2020,G,#00005,#00002,St Petro,W,SMG,19.0,25.0,0.76,-6.0,51,-,14.6%,22.7%
AquA,HP,LAG,LW,MIN,1/24/2020,G,#00010,#00003,St Petro,W,AR,25.0,22.0,1.14,3.0,-,-,20.7%,17.7%
AquA,HP,LAG,LW,MIN,1/24/2020,G,#00013,#00003,Hackney,L,AR,23.0,22.0,1.05,1.0,-,-,23.5%,16.5%
Arcitys,HP,CHI,LW,DAL,1/24/2020,G,#00004,#00001,Gun Runner,W,Flex,40.0,23.0,1.74,17.0,-,-,26.0%,16.9%
Arcitys,HP,CHI,LW,DAL,1/24/2020,G,#00001,#00001,Azhir,W,Flex,32.0,19.0,1.68,13.0,-,-,21.9%,14.0%
Asim,HP,MIN,LW,LAG,1/24/2020,G,#00013,#00003,Hackney,W,SMG,24.0,20.0,1.2,4.0,-,-,18.0%,20.4%
Asim,HP,MIN,LW,LAG,1/24/2020,G,#00010,#00003,St Petro,L,SMG,23.0,25.0,0.92,-2.0,-,-,18.5%,20.7%
Assault,HP,MIN,LW,LAG,1/24/2020,G,#00010,#00003,St Petro,L,AR,32.0,23.0,1.39,9.0,-,-,25.8%,19.0%
Assault,HP,MIN,LW,LAG,1/24/2020,G,#00013,#00003,Hackney,W,AR,24.0,17.0,1.41,7.0,-,-,18.0%,17.3%
Clayster,HP,DAL,LW,CHI,1/24/2020,G,#00001,#00001,Azhir,L,AR,27.0,30.0,0.9,-3.0,-,-,20.0%,21.0%
Clayster,HP,DAL,LW,CHI,1/24/2020,G,#00004,#00001,Gun Runner,L,AR,26.0,34.0,0.76,-8.0,-,-,18.7%,22.2%
Crimsix,HP,DAL,LW,CHI,1/24/2020,G,#00001,#00001,Azhir,L,Flex,35.0,26.0,1.35,9.0,-,-,25.9%,18.2%
Crimsix,HP,DAL,LW,CHI,1/24/2020,G,#00004,#00001,Gun Runner,L,Flex,30.0,31.0,0.97,-1.0,-,-,21.6%,20.3%
Decemate,HP,LAG,LW,MIN,1/24/2020,G,#00013,#00003,Hackney,L,SMG,21.0,30.0,0.7,-9.0,-,-,21.4%,22.6%
Decemate,HP,LAG,LW,MIN,1/24/2020,G,#00010,#00003,St Petro,W,SMG,16.0,26.0,0.62,-10.0,-,-,13.2%,21.0%
Enable,HP,SEA,LW,FL,1/24/2020,G,#00005,#00002,St Petro,W,SMG,30.0,23.0,1.3,7.0,61,-,23.1%,20.9%
Enable,HP,SEA,LW,FL,1/24/2020,G,#00008,#00002,Azhir,L,SMG,30.0,30.0,1.0,0.0,43,-,23.6%,23.1%
